17, 1596721024.4091256, 163, 1024, 0.013251543045043945, 0:00:00.010468
34, 1596721024.4155405, 36324, 102400, 0.02613091468811035, 0:00:00.024702
102, 1596721024.4276938, 21227, 102400, 0.061903953552246094, 0:00:00.061018
123, 1596721024.4469476, 43960, 102400, 0.08980512619018555, 0:00:00.088934
59, 1596721024.4453084, 11396, 102400, 0.10089445114135742, 0:00:00.099440
105, 1596721024.467594, 18346, 102400, 0.09875845909118652, 0:00:00.097892
3, 1596721024.5181282, 46172, 102400, 0.14053964614868164, 0:00:00.139704
41, 1596721024.4103813, 377871, 512000, 0.2562978267669678, 0:00:00.243086
40, 1596721024.4097972, 234922, 512000, 0.2818300724029541, 0:00:00.272247
127, 1596721024.5196705, 79717, 102400, 0.1911146640777588, 0:00:00.179263
125, 1596721024.5046444, 55039, 102400, 0.22238755226135254, 0:00:00.221315
128, 1596721024.525053, 53048, 102400, 0.27152371406555176, 0:00:00.270708
65, 1596721024.5350275, 26268, 102400, 0.28898096084594727, 0:00:00.288158
89, 1596721024.582226, 1678, 10240, 0.26340627670288086, 0:00:00.262433
66, 1596721024.537606, 11479, 102400, 0.34656310081481934, 0:00:00.344141
67, 1596721024.547727, 91798, 102400, 0.3592221736907959, 0:00:00.358200
19, 1596721024.5488393, 77785, 102400, 0.36078882217407227, 0:00:00.359457
68, 1596721024.555661, 27071, 102400, 0.35643434524536133, 0:00:00.354063
69, 1596721024.5595794, 19820, 102400, 0.4078655242919922, 0:00:00.397420
20, 1596721024.5908856, 36526, 102400, 0.4453098773956299, 0:00:00.444214
42, 1596721024.4249346, 495706, 512000, 0.643073558807373, 0:00:00.623802
108, 1596721024.5995734, 101271, 102400, 0.5414266586303711, 0:00:00.540229
21, 1596721024.6008828, 30232, 102400, 0.5537075996398926, 0:00:00.552290
131, 1596721024.6067986, 28329, 102400, 0.5646569728851318, 0:00:00.563795
23, 1596721024.6117396, 37547, 102400, 0.5690736770629883, 0:00:00.567964
24, 1596721024.6131482, 33004, 102400, 0.6321990489959717, 0:00:00.629066
132, 1596721024.6416187, 55404, 102400, 0.7055134773254395, 0:00:00.704548
1, 1596721024.4749608, 162610, 512000, 0.9139564037322998, 0:00:00.912385
74, 1596721024.655584, 56350, 102400, 0.7410240173339844, 0:00:00.740152
75, 1596721024.6594245, 68359, 102400, 0.7565531730651855, 0:00:00.755630
61, 1596721024.4835913, 263393, 512000, 0.9651799201965332, 0:00:00.926909
7, 1596721024.6810849, 18787, 102400, 0.9778857231140137, 0:00:00.976776
129, 1596721024.5501895, 119677, 512000, 1.1466975212097168, 0:00:01.144967
63, 1596721024.5287652, 493554, 512000, 1.2471530437469482, 0:00:01.245830
94, 1596721024.6974983, 59671, 102400, 1.1046595573425293, 0:00:01.103703
71, 1596721024.5839758, 120191, 512000, 1.266087293624878, 0:00:01.259279
50, 1596721024.5896978, 293170, 512000, 1.292910099029541, 0:00:01.290596
55, 1596721024.7116032, 29529, 102400, 1.1845688819885254, 0:00:01.182983
22, 1596721024.6036017, 234488, 512000, 1.3445439338684082, 0:00:01.317954
70, 1596721024.5782995, 128653, 512000, 1.4186756610870361, 0:00:01.415802
97, 1596721024.7294805, 55389, 102400, 1.3584253787994385, 0:00:01.357242
76, 1596721024.6693478, 109911, 512000, 1.4846298694610596, 0:00:01.466342
32, 1596721024.7395835, 36643, 102400, 1.43971848487854, 0:00:01.435039
77, 1596721024.6720178, 230606, 512000, 1.5081558227539062, 0:00:01.434224
37, 1596721024.6668396, 155241, 512000, 1.544538974761963, 0:00:01.533667
110, 1596721024.746664, 10625, 102400, 1.5211963653564453, 0:00:01.489166
113, 1596721024.7595723, 19908, 102400, 1.6049013137817383, 0:00:01.588880
4, 1596721024.532549, 617913, 1048576, 1.8325259685516357, 0:00:01.753968
13, 1596721024.7835827, 20679, 102400, 1.6073007583618164, 0:00:01.551074
133, 1596721024.6478207, 163840, 512000, 1.7533204555511475, 0:00:01.752012
138, 1596721024.7866576, 19908, 102400, 1.6459095478057861, 0:00:01.634958
100, 1596721024.7915707, 23223, 102400, 1.642031192779541, 0:00:01.598281
139, 1596721024.7944684, 85352, 102400, 1.6486666202545166, 0:00:01.647438
82, 1596721024.8067336, 93441, 102400, 1.8423724174499512, 0:00:01.778623
38, 1596721024.674503, 364273, 512000, 1.99013352394104, 0:00:01.891197
33, 1596721024.8195755, 21596, 102400, 1.889035940170288, 0:00:01.888107
109, 1596721024.693311, 113198, 512000, 2.319640874862671, 0:00:02.221922
101, 1596721024.8399005, 56035, 102400, 2.206292152404785, 0:00:02.205306
57, 1596721024.838831, 33475, 102400, 2.2539846897125244, 0:00:02.253087
39, 1596721024.8457358, 70505, 102400, 2.30648136138916, 0:00:02.229048
272, 1596721024.8636837, 80609, 102400, 2.43990421295166, 0:00:02.438648
137, 1596721024.735581, 151234, 512000, 2.6034698486328125, 0:00:02.602010
273, 1596721024.866982, 14098, 102400, 2.509984016418457, 0:00:02.509133
226, 1596721024.8909657, 6520, 10240, 2.5014681816101074, 0:00:02.500330
81, 1596721024.7230723, 148625, 512000, 2.6699817180633545, 0:00:02.645238
227, 1596721024.89916, 1528, 10240, 2.524123191833496, 0:00:02.521584
228, 1596721024.902051, 2922, 10240, 2.5347936153411865, 0:00:02.533702
231, 1596721024.907735, 1989, 10240, 2.645674467086792, 0:00:02.644585
229, 1596721024.9033582, 3191, 10240, 2.6537365913391113, 0:00:02.651153
230, 1596721024.9047108, 1611, 10240, 2.6607282161712646, 0:00:02.644222
