0,1424534412,992045168,9217283,98
1,1424534428,1961450907,162610,4
2,1424534447,3658703614,7349619,213
3,1424534454,3074733370,46172,301
4,1424534469,1902139860,617913,92
5,1424534499,3074733370,2876727,158
6,1424534550,3030011771,2882032,12
7,1424534554,2004388399,18787,12
8,1424534562,2364357546,687872,2
9,1424534583,1902139860,617913,82
10,1424534584,1902139860,1972575,138
11,1424534602,248699679,1248844,2
12,1424534605,3060457666,915322,4
13,1424534637,2004388399,20679,8
14,1424534647,1961450907,168472,2
15,1424534674,3701596205,1111580,14
16,1424534680,244449239,186393,3
17,1424534400,3069205796,163,4
18,1424534408,2043423110,1325211,2
19,1424534475,1851204580,77785,11
20,1424534505,1962533444,36526,4
21,1424534514,1962533444,30232,2
22,1424534515,2068163650,234488,5
23,1424534523,1962533444,37547,3
24,1424534523,3073713890,33004,4
25,1424534533,2068163650,3767984,5
26,1424534540,2068163650,1110476,5
27,1424534545,29670653,1693251,4
28,1424534551,2068163650,719223,1
29,1424534556,3030158499,10462803,89
30,1424534594,2043606422,2553949,27
31,1424534595,2074240333,4434608,7
32,1424534615,3073713890,36643,6
33,1424534660,3071608181,21596,2
34,1424534408,2071680263,36324,73
35,1424534510,3721054223,5138384,5
36,1424534541,1899586448,1981709,6
37,1424534544,1899586448,155241,3
38,1424534548,1899586448,364273,4
39,1424534699,466333686,70505,4
40,1424534406,1896471373,234922,292
41,1424534407,1896471373,377871,293
42,1424534408,1896471373,495706,295
43,1424534425,2057168920,3768896,52
44,1424534442,3735033187,2882032,65
45,1424534442,2091316228,1401069,11
46,1424534454,3735033187,2882032,11
47,1424534474,1953589639,4262200,6
48,1424534486,3659191458,3876200,391
49,1424534501,1884668844,3904590,5
50,1424534504,1008362675,293170,9
51,1424534515,2057168920,3768896,3
52,1424534524,707805904,2985771,8
53,1424534532,2938773891,691528,4
54,1424534567,2089068040,8126360,6
55,1424534593,2072095769,29529,5
56,1424534658,2002299810,1916883,7
57,1424534680,2072095769,33475,4
58,1424534682,719965846,3726712,1314
59,1424534412,826792877,11396,2
60,1424534418,1973158401,8821339,32
61,1424534430,2027071755,263393,6
62,1424534452,2027071755,2200057,11
63,1424534459,2027071755,493554,6
64,1424534468,2345478171,1528560,11
